DISTRICT,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST,POSITIVITY_RATE_ALL_TESTS,COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE
1,2020-02-26,0,0,0,0,1
1,2020-02-27,0,0,0,0,0
1,2020-02-28,0,0,2,0,0
1,2020-02-29,0,0,0,0,0
1,2020-03-02,0,0,0,0,0
1,2020-03-03,0,0,0,0,0
1,2020-03-04,0,0,0,0,0
1,2020-03-05,0,0,0,0,0
1,2020-03-06,0,0,0,0,0
1,2020-03-07,0,0,1,0,0
1,2020-03-08,0,0,0,0,0
1,2020-03-09,0,0,0,0,0
1,2020-03-10,0,0,3,0,0
1,2020-03-11,0,0,3,0,0
1,2020-03-12,0,0,26,11.53846154,3
1,2020-03-13,1,0,16,6.25,1
1,2020-03-14,0,0,155,1.290322581,2
1,2020-03-15,0,0,23,8.695652174,3
1,2020-03-16,2,0,76,3.703703704,6
1,2020-03-17,1,0,122,14.63414634,16
1,2020-03-18,1,0,190,7.8125,15
1,2020-03-19,2,0,204,9.756097561,20
1,2020-03-20,2,0,187,7.936507937,17
1,2020-03-21,3,0,92,11.70212766,13
1,2020-03-22,1,0,90,7.608695652,9
1,2020-03-23,7,0,183,10.27027027,24
1,2020-03-24,5,0,125,12.68656716,25
1,2020-03-25,14,1,190,10.25641026,26
1,2020-03-26,18,1,188,14.28571429,39
1,2020-03-27,30,0,247,15.29850746,52
1,2020-03-28,24,0,115,19.16666667,28
1,2020-03-29,13,4,89,12.90322581,26
1,2020-03-30,59,2,312,15.29051988,62
1,2020-03-31,43,2,318,16.21621622,74
1,2020-04-01,47,0,280,15.51724138,65
1,2020-04-02,45,2,253,14.23076923,52
1,2020-04-03,78,2,269,15.3024911,55
1,2020-04-04,33,0,109,12.61261261,26
1,2020-04-05,54,2,96,16.50485437,27
1,2020-04-06,61,3,299,18.70967742,70
1,2020-04-07,45,5,286,16.22516556,73
1,2020-04-08,76,6,464,20.50739958,108
1,2020-04-09,52,6,502,15.41425819,93
1,2020-04-10,116,2,506,12.66540643,78
1,2020-04-11,96,2,296,9.868421053,41
1,2020-04-12,54,5,72,11.39240506,17
1,2020-04-13,37,6,455,20.16460905,94
1,2020-04-14,67,7,537,30.52631579,184
1,2020-04-15,187,2,470,13.18897638,73
1,2020-04-16,76,3,599,17.9245283,111
1,2020-04-17,88,5,539,13.94148021,82
1,2020-04-18,24,3,196,21.46118721,52
1,2020-04-19,83,6,140,23.39181287,41
1,2020-04-20,53,2,602,17.10323575,114
1,2020-04-21,87,4,523,18.54419411,105
1,2020-04-22,69,5,393,17.40139211,75
1,2020-04-23,109,4,320,20.05571031,82
1,2020-04-24,88,4,268,25.4180602,86
1,2020-04-25,51,2,253,20,54
1,2020-04-26,60,5,362,15.07936508,57
1,2020-04-27,158,5,674,11.60593792,92
